Time	V(N001)	V(N002)	V(N003)	I(V1)	I(R1)	I(C1)	I(L1)	
0.0505	-0.157054	-0.158742	-0.314113	-1.68848e-06	1.68848e-06	1.68848e-06	1.68848e-06	
0.051	-0.313953	-0.158585	-0.313956	0.000155368	-0.000155368	-0.000155368	-0.000155368	
0.0515	-0.470542	-0.158195	-0.313489	0.000312346	-0.000312346	-0.000312346	-0.000312346	
0.052	-0.626666	-0.157575	-0.312713	0.000469091	-0.000469091	-0.000469091	-0.000469091	
0.0525	-0.782172	-0.156725	-0.311628	0.000625447	-0.000625447	-0.000625447	-0.000625447	
0.053	-0.936907	-0.155645	-0.310236	0.000781261	-0.000781261	-0.000781261	-0.000781261	
0.0535	-1.09072	-0.154337	-0.308537	0.000936379	-0.000936379	-0.000936379	-0.000936379	
0.054	-1.24345	-0.152802	-0.306533	0.00109065	-0.00109065	-0.00109065	-0.00109065	
0.0545	-1.39496	-0.151041	-0.304227	0.00124391	-0.00124391	-0.00124391	-0.00124391	
0.055	-1.54508	-0.149057	-0.301621	0.00139603	-0.00139603	-0.00139603	-0.00139603	
0.0555	-1.69369	-0.146851	-0.298717	0.00154684	-0.00154684	-0.00154684	-0.00154684	
0.056	-1.84062	-0.144425	-0.295518	0.0016962	-0.0016962	-0.0016962	-0.0016962	
0.0565	-1.98574	-0.141783	-0.292028	0.00184396	-0.00184396	-0.00184396	-0.00184396	
0.057	-2.1289	-0.138926	-0.288249	0.00198997	-0.00198997	-0.00198997	-0.00198997	
0.0575	-2.26995	-0.135858	-0.284186	0.00213409	-0.00213409	-0.00213409	-0.00213409	
0.058	-2.40877	-0.132581	-0.279842	0.00227619	-0.00227619	-0.00227619	-0.00227619	
0.0585	-2.54521	-0.129099	-0.275221	0.00241611	-0.00241611	-0.00241611	-0.00241611	
0.059	-2.67913	-0.125415	-0.27033	0.00255372	-0.00255372	-0.00255372	-0.00255372	
0.0595	-2.81042	-0.121533	-0.265171	0.00268888	-0.00268888	-0.00268888	-0.00268888	
0.06	-2.93893	-0.117457	-0.25975	0.00282147	-0.00282147	-0.00282147	-0.00282147	
0.0605	-3.06454	-0.113191	-0.254073	0.00295134	-0.00295134	-0.00295134	-0.00295134	
0.061	-3.18712	-0.108739	-0.248146	0.00307838	-0.00307838	-0.00307838	-0.00307838	
0.0615	-3.30656	-0.104105	-0.241973	0.00320245	-0.00320245	-0.00320245	-0.00320245	
0.062	-3.42274	-0.0992949	-0.235562	0.00332344	-0.00332344	-0.00332344	-0.00332344	
0.0625	-3.53553	-0.0943125	-0.228917	0.00344122	-0.00344122	-0.00344122	-0.00344122	
0.063	-3.64484	-0.089163	-0.222047	0.00355568	-0.00355568	-0.00355568	-0.00355568	
0.0635	-3.75056	-0.0838516	-0.214958	0.0036667	-0.0036667	-0.0036667	-0.0036667	
0.064	-3.85257	-0.0783834	-0.207657	0.00377418	-0.00377418	-0.00377418	-0.00377418	
0.0645	-3.95078	-0.072764	-0.20015	0.00387801	-0.00387801	-0.00387801	-0.00387801	
0.065	-4.04508	-0.0669989	-0.192446	0.00397809	-0.00397809	-0.00397809	-0.00397809	
0.0655	-4.1354	-0.0610939	-0.184552	0.00407431	-0.00407431	-0.00407431	-0.00407431	
0.066	-4.22164	-0.0550547	-0.176476	0.00416658	-0.00416658	-0.00416658	-0.00416658	
0.0665	-4.30371	-0.0488875	-0.168225	0.00425482	-0.00425482	-0.00425482	-0.00425482	
0.067	-4.38153	-0.0425982	-0.159808	0.00433894	-0.00433894	-0.00433894	-0.00433894	
0.0675	-4.45503	-0.0361933	-0.151234	0.00441884	-0.00441884	-0.00441884	-0.00441884	
0.068	-4.52414	-0.029679	-0.14251	0.00449446	-0.00449446	-0.00449446	-0.00449446	
0.0685	-4.58877	-0.0230618	-0.133646	0.00456571	-0.00456571	-0.00456571	-0.00456571	
0.069	-4.64888	-0.0163482	-0.124649	0.00463253	-0.00463253	-0.00463253	-0.00463253	
0.0695	-4.7044	-0.00954495	-0.11553	0.00469486	-0.00469486	-0.00469486	-0.00469486	
0.07	-4.75528	-0.00265879	-0.106296	0.00475262	-0.00475262	-0.00475262	-0.00475262	
0.0705	-4.80147	0.00430347	-0.0969576	0.00480577	-0.00480577	-0.00480577	-0.00480577	
0.071	-4.84292	0.0113349	-0.0875233	0.00485425	-0.00485425	-0.00485425	-0.00485425	
0.0715	-4.87958	0.0184286	-0.0780025	0.00489801	-0.00489801	-0.00489801	-0.00489801	
0.072	-4.91144	0.0255774	-0.0684047	0.00493701	-0.00493701	-0.00493701	-0.00493701	
0.0725	-4.93844	0.0327743	-0.0587393	0.00497122	-0.00497122	-0.00497122	-0.00497122	
0.073	-4.96057	0.0400121	-0.0490158	0.00500059	-0.00500059	-0.00500059	-0.00500059	
0.0735	-4.97781	0.0472837	-0.0392439	0.00502509	-0.00502509	-0.00502509	-0.00502509	
0.074	-4.99013	0.0545819	-0.0294332	0.00504472	-0.00504472	-0.00504472	-0.00504472	
0.0745	-4.99753	0.0618994	-0.0195934	0.00505943	-0.00505943	-0.00505943	-0.00505943	
0.075	-5	0.0692289	-0.00973419	0.00506923	-0.00506923	-0.00506923	-0.00506923	
0.0755	-4.99753	0.0765632	0.000134715	0.0050741	-0.0050741	-0.0050741	-0.0050741	
0.076	-4.99013	0.083895	0.0100036	0.00507403	-0.00507403	-0.00507403	-0.00507403	
0.0765	-4.97781	0.091217	0.0198626	0.00506903	-0.00506903	-0.00506903	-0.00506903	
0.077	-4.96057	0.098522	0.0297021	0.0050591	-0.0050591	-0.0050591	-0.0050591	
0.0775	-4.93844	0.105803	0.0395124	0.00504424	-0.00504424	-0.00504424	-0.00504424	
0.078	-4.91144	0.113052	0.0492838	0.00502449	-0.00502449	-0.00502449	-0.00502449	
0.0785	-4.87958	0.120263	0.0590066	0.00499985	-0.00499985	-0.00499985	-0.00499985	
0.079	-4.84292	0.127427	0.0686712	0.00497034	-0.00497034	-0.00497034	-0.00497034	
0.0795	-4.80147	0.134539	0.0782682	0.00493601	-0.00493601	-0.00493601	-0.00493601	
0.08	-4.75528	0.141591	0.0877879	0.00489687	-0.00489687	-0.00489687	-0.00489687	
0.0805	-4.7044	0.148576	0.0972211	0.00485298	-0.00485298	-0.00485298	-0.00485298	
0.081	-4.64888	0.155486	0.106558	0.00480437	-0.00480437	-0.00480437	-0.00480437	
0.0815	-4.58877	0.162316	0.115791	0.00475109	-0.00475109	-0.00475109	-0.00475109	
0.082	-4.52414	0.169059	0.124909	0.00469319	-0.00469319	-0.00469319	-0.00469319	
0.0825	-4.45503	0.175707	0.133904	0.00463074	-0.00463074	-0.00463074	-0.00463074	
