Time	V(N001)	V(N002)	I(V1)	I(R1)	I(C1)	
0.119	4.64888	0.0402208	-0.00460866	-0.00460866	-0.00460866	
0.12	4.75528	0.0448295	-0.00471045	-0.00471045	-0.00471045	
0.121	4.84292	0.0495399	-0.00479338	-0.00479338	-0.00479338	
0.122	4.91144	0.0543333	-0.0048571	-0.0048571	-0.0048571	
0.123	4.96057	0.0591904	-0.00490138	-0.00490138	-0.00490138	
0.124	4.99013	0.0640918	-0.00492604	-0.00492604	-0.00492604	
0.125	5	0.0690178	-0.00493098	-0.00493098	-0.00493098	
0.126	4.99013	0.0739488	-0.00491618	-0.00491618	-0.00491618	
0.127	4.96057	0.078865	-0.00488171	-0.00488171	-0.00488171	
0.128	4.91144	0.0837467	-0.00482769	-0.00482769	-0.00482769	
0.129	4.84292	0.0885744	-0.00475434	-0.00475434	-0.00475434	
0.13	4.75528	0.0933287	-0.00466195	-0.00466195	-0.00466195	
0.131	4.64888	0.0979907	-0.00455089	-0.00455089	-0.00455089	
0.132	4.52414	0.102542	-0.00442159	-0.00442159	-0.00442159	
0.133	4.38153	0.106963	-0.00427457	-0.00427457	-0.00427457	
0.134	4.22164	0.111238	-0.0041104	-0.0041104	-0.0041104	
0.135	4.04508	0.115348	-0.00392974	-0.00392974	-0.00392974	
0.136	3.85257	0.119278	-0.00373329	-0.00373329	-0.00373329	
0.137	3.64484	0.123011	-0.00352183	-0.00352183	-0.00352183	
0.138	3.42274	0.126533	-0.0032962	-0.0032962	-0.0032962	
0.139	3.18712	0.129829	-0.00305729	-0.00305729	-0.00305729	
0.14	2.93893	0.132887	-0.00280604	-0.00280604	-0.00280604	
0.141	2.67913	0.135693	-0.00254344	-0.00254344	-0.00254344	
0.142	2.40877	0.138236	-0.00227053	-0.00227053	-0.00227053	
0.143	2.1289	0.140507	-0.00198839	-0.00198839	-0.00198839	
0.144	1.84062	0.142495	-0.00169813	-0.00169813	-0.00169813	
0.145	1.54508	0.144193	-0.00140089	-0.00140089	-0.00140089	
0.146	1.24345	0.145594	-0.00109786	-0.00109786	-0.00109786	
