Time	V(N1)	V(N2)	V(N3)	V(N4)	I(V1)	I(R1)	I(R2)	I(I1)	I(R3)	I(R4)	I(R5)	
0.67	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
0.68	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
0.69	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
0.7	-2.64296e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
0.71	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
0.72	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
0.73	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
0.74	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
0.75	-2	11.5	-18.75	-6.25	2.7	-2.7	2.3	5	-3.75	-1.25	-1.25	
0.76	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
0.77	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
0.78	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
0.79	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
0.8	2.67398e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
0.81	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
0.82	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
0.83	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
0.84	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
0.85	2	13.5	-18.75	-6.25	2.3	-2.3	2.7	5	-3.75	-1.25	-1.25	
0.86	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
0.87	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
0.88	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
0.89	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
0.9	-3.30452e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
0.91	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
0.92	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
0.93	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
0.94	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
0.95	-2	11.5	-18.75	-6.25	2.7	-2.7	2.3	5	-3.75	-1.25	-1.25	
0.96	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
0.97	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
0.98	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
0.99	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
1	4.04608e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
1.01	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
1.02	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
1.03	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
1.04	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
1.05	2	13.5	-18.75	-6.25	2.3	-2.3	2.7	5	-3.75	-1.25	-1.25	
1.06	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
1.07	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
1.08	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
1.09	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
1.1	-4.67662e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
1.11	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
1.12	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
1.13	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
1.14	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
1.15	-2	11.5	-18.75	-6.25	2.7	-2.7	2.3	5	-3.75	-1.25	-1.25	
1.16	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
1.17	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
1.18	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
1.19	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
1.2	5.41818e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
1.21	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
1.22	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
1.23	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
1.24	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
1.25	2	13.5	-18.75	-6.25	2.3	-2.3	2.7	5	-3.75	-1.25	-1.25	
1.26	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
1.27	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
1.28	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
1.29	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
1.3	-6.04872e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
1.31	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
1.32	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
1.33	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
1.34	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
1.35	-2	11.5	-18.75	-6.25	2.7	-2.7	2.3	5	-3.75	-1.25	-1.25	
1.36	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
1.37	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
1.38	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
1.39	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
