Time	V(N001)	V(N002)	I(V1)	I(R1)	I(L1)	
0.12	4.75528	0.1064	-0.00464888	-0.00464888	-0.00464888	
0.121	4.84292	0.0876332	-0.00475528	-0.00475528	-0.00475528	
0.122	4.91144	0.0685204	-0.00484292	-0.00484292	-0.00484292	
0.123	4.96057	0.0491373	-0.00491144	-0.00491144	-0.00491144	
0.124	4.99013	0.0295601	-0.00496057	-0.00496057	-0.00496057	
0.125	5	0.00986636	-0.00499013	-0.00499013	-0.00499013	
0.126	4.99013	-0.00986636	-0.005	-0.005	-0.005	
0.127	4.96057	-0.0295601	-0.00499013	-0.00499013	-0.00499013	
0.128	4.91144	-0.0491373	-0.00496057	-0.00496057	-0.00496057	
0.129	4.84292	-0.0685204	-0.00491144	-0.00491144	-0.00491144	
0.13	4.75528	-0.0876332	-0.00484292	-0.00484292	-0.00484292	
0.131	4.64888	-0.1064	-0.00475528	-0.00475528	-0.00475528	
0.132	4.52414	-0.124747	-0.00464888	-0.00464888	-0.00464888	
0.133	4.38153	-0.142602	-0.00452414	-0.00452414	-0.00452414	
0.134	4.22164	-0.159894	-0.00438153	-0.00438153	-0.00438153	
0.135	4.04508	-0.176555	-0.00422164	-0.00422164	-0.00422164	
0.136	3.85257	-0.192519	-0.00404508	-0.00404508	-0.00404508	
0.137	3.64484	-0.207723	-0.00385257	-0.00385257	-0.00385257	
0.138	3.42274	-0.222108	-0.00364484	-0.00364484	-0.00364484	
0.139	3.18712	-0.235616	-0.00342274	-0.00342274	-0.00342274	
0.14	2.93893	-0.248194	-0.00318712	-0.00318712	-0.00318712	
0.141	2.67913	-0.259792	-0.00293893	-0.00293893	-0.00293893	
0.142	2.40877	-0.270366	-0.00267913	-0.00267913	-0.00267913	
0.143	2.1289	-0.279872	-0.00240877	-0.00240877	-0.00240877	
0.144	1.84062	-0.288274	-0.0021289	-0.0021289	-0.0021289	
0.145	1.54508	-0.295538	-0.00184062	-0.00184062	-0.00184062	
0.146	1.24345	-0.301636	-0.00154508	-0.00154508	-0.00154508	
0.147	0.936907	-0.306543	-0.00124345	-0.00124345	-0.00124345	
